127.0.0.1 - - [10/Apr/2023:01:29:23 +0900] "GET / HTTP/1.1" 404 807
192.168.219.103 - - [10/Apr/2023:01:29:32 +0900] "GET /board?sort=writed HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:29:45 +0900] "GET /board?sort=views HTTP/1.1" 200 5227
192.168.219.103 - - [10/Apr/2023:01:29:49 +0900] "GET /board?sort=likes HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:29:53 +0900] "GET /board?sort=views HTTP/1.1" 200 5227
192.168.219.103 - - [10/Apr/2023:01:29:55 +0900] "GET /board?sort=writed HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:30:19 +0900] "GET /board?page=2 HTTP/1.1" 200 5193
192.168.219.103 - - [10/Apr/2023:01:30:20 +0900] "GET /board?page=3 HTTP/1.1" 200 1767
192.168.219.103 - - [10/Apr/2023:01:30:21 +0900] "GET /board?page=1 HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:30:45 +0900] "GET /detail?boardId=201 HTTP/1.1" 500 1264
192.168.219.103 - - [10/Apr/2023:01:30:50 +0900] "GET /board?page=2 HTTP/1.1" 200 5193
192.168.219.103 - - [10/Apr/2023:01:30:50 +0900] "GET /board?page=2 HTTP/1.1" 200 5193
192.168.219.103 - - [10/Apr/2023:01:30:50 +0900] "GET /board?page=2 HTTP/1.1" 200 5193
192.168.219.103 - - [10/Apr/2023:01:30:50 +0900] "GET /board?page=2 HTTP/1.1" 200 5193
192.168.219.103 - - [10/Apr/2023:01:30:55 +0900] "GET /login-task?id=tae&pass=123 HTTP/1.1" 302 -
192.168.219.103 - - [10/Apr/2023:01:30:55 +0900] "GET /index HTTP/1.1" 200 316
192.168.219.103 - - [10/Apr/2023:01:30:56 +0900] "GET /logout HTTP/1.1" 302 -
192.168.219.103 - - [10/Apr/2023:01:30:56 +0900] "GET /index HTTP/1.1" 200 313
192.168.219.103 - - [10/Apr/2023:01:30:57 +0900] "GET /login HTTP/1.1" 200 351
192.168.219.103 - - [10/Apr/2023:01:30:59 +0900] "GET /login-task?id=tae&pass=123 HTTP/1.1" 302 -
192.168.219.103 - - [10/Apr/2023:01:30:59 +0900] "GET /index HTTP/1.1" 200 316
192.168.219.103 - - [10/Apr/2023:01:31:01 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:31:02 +0900] "GET /detail?boardId=142 HTTP/1.1" 200 515
192.168.219.103 - - [10/Apr/2023:01:31:02 +0900] "GET /resource/css/style.css?1681057862746 HTTP/1.1" 200 2510
192.168.219.103 - - [10/Apr/2023:01:31:53 +0900] "GET /like?boardId=142 HTTP/1.1" 302 -
192.168.219.103 - - [10/Apr/2023:01:31:53 +0900] "GET /detail?boardId=142 HTTP/1.1" 200 447
192.168.219.103 - - [10/Apr/2023:01:31:53 +0900] "GET /resource/css/style.css?1681057913582 HTTP/1.1" 200 2510
192.168.219.103 - - [10/Apr/2023:01:31:58 +0900] "GET /detail?boardId=161 HTTP/1.1" 200 646
192.168.219.103 - - [10/Apr/2023:01:31:58 +0900] "GET /resource/css/style.css?1681057918291 HTTP/1.1" 200 2510
192.168.219.103 - - [10/Apr/2023:01:32:05 +0900] "GET /board/check?boardId=161&caseCheck=1 HTTP/1.1" 200 508
192.168.219.103 - - [10/Apr/2023:01:32:07 +0900] "GET /board/check?boardId=161&caseCheck=2 HTTP/1.1" 200 508
192.168.219.103 - - [10/Apr/2023:01:33:42 +0900] "GET /index HTTP/1.1" 200 342
192.168.219.103 - - [10/Apr/2023:01:33:43 +0900] "GET /index HTTP/1.1" 200 342
192.168.219.103 - - [10/Apr/2023:01:33:43 +0900] "GET /index HTTP/1.1" 200 342
192.168.219.103 - - [10/Apr/2023:01:33:53 +0900] "GET /index HTTP/1.1" 200 344
192.168.219.103 - - [10/Apr/2023:01:33:54 +0900] "GET /index HTTP/1.1" 200 344
192.168.219.103 - - [10/Apr/2023:01:34:26 +0900] "GET /index HTTP/1.1" 200 344
192.168.219.103 - - [10/Apr/2023:01:34:34 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:34:41 +0900] "GET /create HTTP/1.1" 200 500
192.168.219.103 - - [10/Apr/2023:01:35:20 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:35:21 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:35:21 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:35:24 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:35:24 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:35:24 +0900] "GET /board HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:35:34 +0900] "GET /board?page=2 HTTP/1.1" 200 5193
192.168.219.103 - - [10/Apr/2023:01:35:34 +0900] "GET /board?page=3 HTTP/1.1" 200 1767
192.168.219.103 - - [10/Apr/2023:01:38:22 +0900] "GET /board?sort=writed HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:38:23 +0900] "GET /board?sort=views HTTP/1.1" 200 5227
192.168.219.103 - - [10/Apr/2023:01:38:24 +0900] "GET /board?sort=likes HTTP/1.1" 200 5243
192.168.219.103 - - [10/Apr/2023:01:38:25 +0900] "GET /board?sort=views HTTP/1.1" 200 5227
192.168.219.103 - - [10/Apr/2023:01:39:00 +0900] "GET /create HTTP/1.1" 200 500
192.168.219.103 - - [10/Apr/2023:01:39:37 +0900] "GET /board?sort=views HTTP/1.1" 200 5227
192.168.219.103 - - [10/Apr/2023:01:39:46 +0900] "GET /detail?boardId=163 HTTP/1.1" 200 660
192.168.219.103 - - [10/Apr/2023:01:39:46 +0900] "GET /detail?boardId=163 HTTP/1.1" 200 660
192.168.219.103 - - [10/Apr/2023:01:39:46 +0900] "GET /resource/css/style.css?1681058386168 HTTP/1.1" 200 2510
192.168.219.103 - - [10/Apr/2023:01:40:00 +0900] "GET /detail?boardId=84 HTTP/1.1" 200 670
192.168.219.103 - - [10/Apr/2023:01:40:00 +0900] "GET /resource/css/style.css?1681058400113 HTTP/1.1" 200 2510
192.168.219.103 - - [10/Apr/2023:01:40:24 +0900] "GET /create HTTP/1.1" 200 500
127.0.0.1 - - [10/Apr/2023:22:30:56 +0900] "GET / HTTP/1.1" 404 807
192.168.219.103 - - [10/Apr/2023:22:32:05 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [10/Apr/2023:22:32:10 +0900] "GET / HTTP/1.1" 404 807
192.168.219.103 - - [10/Apr/2023:22:32:11 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:11 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:11 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:13 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:25 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:26 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:28 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:53 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:53 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:54 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:54 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:54 +0900] "GET /index HTTP/1.1" 404 812
192.168.219.103 - - [10/Apr/2023:22:32:57 +0900] "GET /index HTTP/1.1" 404 812
127.0.0.1 - - [10/Apr/2023:22:33:19 +0900] "GET / HTTP/1.1" 404 807
192.168.219.103 - - [10/Apr/2023:22:33:19 +0900] "GET /index HTTP/1.1" 200 341
192.168.219.103 - - [10/Apr/2023:22:33:29 +0900] "GET /board HTTP/1.1" 200 5210
192.168.219.103 - - [10/Apr/2023:22:33:41 +0900] "GET /detail?boardId=401 HTTP/1.1" 500 1264
192.168.219.103 - - [10/Apr/2023:22:34:04 +0900] "GET /login HTTP/1.1" 200 351
192.168.219.103 - - [10/Apr/2023:22:37:02 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:37:03 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:33 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:33 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:33 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:34 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:34 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /index HTTP/1.1" 200 413
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /index HTTP/1.1" 200 413
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /resource/css/style.css?1681133915556 HTTP/1.1" 200 970
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /index HTTP/1.1" 200 413
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /resource/css/style.css?1681133915732 HTTP/1.1" 200 970
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /index HTTP/1.1" 200 413
192.168.219.103 - - [10/Apr/2023:22:38:35 +0900] "GET /resource/css/style.css?1681133915914 HTTP/1.1" 200 970
192.168.219.103 - - [10/Apr/2023:22:38:37 +0900] "GET /index HTTP/1.1" 200 413
192.168.219.103 - - [10/Apr/2023:22:38:37 +0900] "GET /resource/css/style.css?1681133917042 HTTP/1.1" 200 970
192.168.219.103 - - [10/Apr/2023:22:38:39 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:38:41 +0900] "GET /board HTTP/1.1" 200 5210
192.168.219.103 - - [10/Apr/2023:22:38:57 +0900] "GET /login HTTP/1.1" 200 471
192.168.219.103 - - [10/Apr/2023:22:40:34 +0900] "GET /login HTTP/1.1" 200 487
192.168.219.103 - - [10/Apr/2023:22:40:34 +0900] "GET /resource/css/style.css?1681134034387 HTTP/1.1" 200 970
192.168.219.103 - - [10/Apr/2023:22:40:39 +0900] "GET /login-task? HTTP/1.1" 500 8856
192.168.219.103 - - [10/Apr/2023:22:40:53 +0900] "GET /board HTTP/1.1" 200 5210
192.168.219.103 - - [10/Apr/2023:22:42:52 +0900] "GET /board HTTP/1.1" 200 5283
192.168.219.103 - - [10/Apr/2023:22:42:52 +0900] "GET /resource/css/style2.css?1681134172411 HTTP/1.1" 200 3134
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /board HTTP/1.1" 200 5283
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /resource/css/style2.css?1681134173274 HTTP/1.1" 200 3134
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /board HTTP/1.1" 200 5283
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /resource/css/style2.css?1681134173497 HTTP/1.1" 200 3134
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /board HTTP/1.1" 200 5283
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /resource/css/style2.css?1681134173714 HTTP/1.1" 200 3134
192.168.219.103 - - [10/Apr/2023:22:42:53 +0900] "GET /board HTTP/1.1" 200 5283
